Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1615434107137918,114571 | 8498260 | 126094 | 1 | GDC4895,amex,2018-11-28 14:46:51,BRST,SettledInstallment,1715434235618788,BRL,,58.32,1,BRL,,0.00,1.60,,,,56.72,0000022053,14818112802800740301,amex,59,,,,,,,,Capture Request bookingId 114571
TurbiBR,TurbiBRCOM,4515433993792914,114562 | 8496857 | 126085 | 31 | GDQ9684,amex,2018-11-28 16:46:51,BRST,SettledInstallment,1515434307603819,BRL,,78.84,1,BRL,,0.00,2.17,,,,76.67,0000022053,14818112802800740401,amex,59,,,,,,,,Capture Request bookingId 114562
TurbiBR,TurbiBRCOM,1715424213827824,Authorise Request bookingId 113799,amex,2018-11-29 14:56:01,BRST,RefundedInstallment,1615435105043610,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,4515425078087319,Authorise Request bookingId 113799,amex,2018-11-29 14:56:46,BRST,RefundedInstallment,1815435105513990,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,4715427238126274,Authorise Request bookingId 113799,amex,2018-11-29 14:58:33,BRST,RefundedInstallment,1615435106561123,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,1515426806075788,Authorise Request bookingId 113799,amex,2018-11-29 15:04:21,BRST,RefundedInstallment,1615435110134297,BRL,44.27,,1,BRL,44.27,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,1315425941962480,Authorise Request bookingId 113799,amex,2018-11-29 14:57:47,BRST,RefundedInstallment,1315435106141598,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,1715426373977984,Authorise Request bookingId 113799,amex,2018-11-29 14:58:04,BRST,RefundedInstallment,1315435106379792,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,1615426993467854,Authorise Request bookingId 114059,amex,2018-11-29 12:45:26,BRST,RefundedInstallment,1815435026687105,BRL,180.05,,1,BRL,180.05,,,,,,,,,amex,59,,,,,,,,Refund Request bookingId 114059
TurbiBR,TurbiBRCOM,4515434844593345,114617 | 8496857 | 126137 | 5 | FSN3833,amex,2018-11-29 16:06:58,BRST,SettledInstallment,1315435147615717,BRL,,145.71,1,BRL,,0.00,4.01,,,,141.70,0000022053,14818112902700740401,amex,59,,,,,,,,Capture Request bookingId 114617
TurbiBR,TurbiBRCOM,4715425509966154,Authorise Request bookingId 113799,amex,2018-11-29 14:57:32,BRST,RefundedInstallment,1515435105930866,BRL,100.00,,1,BRL,100.00,,,,,,,,,amex,59,,,,,,,,Authorise Request bookingId 113799
TurbiBR,TurbiBRCOM,4515434871654267,114622 | 8524843 | 126142 | 61 | GCE7705,amex,2018-11-29 19:26:45,BRST,SettledInstallment,1315435267603410,BRL,,94.50,1,BRL,,0.00,2.60,,,,91.90,0000022053,14818112902700740401,amex,59,,,,,,,,Capture Request bookingId 114622
