Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1315456008405790,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1315457615210565,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,4515456884416228,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1715457615214316,BRL,,52.62,1,BRL,,0.00,1.45,,,,51.17,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,1815455570417345,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1615457615212675,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,4715455954415225,116341 | 8526826 | 127862 | 65 | GCU7445,mc,2018-12-25 17:02:50,BRST,SettledInstallment,4615457645220809,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116341
TurbiBR,TurbiBRCOM,4615455057684025,116524 | 8528415 | 128045 | 62 | GJR9212,mc,2018-12-25 17:37:42,BRST,SettledInstallment,4315457666216481,BRL,,333.00,1,BRL,,0.00,9.16,,,,323.84,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116524
TurbiBR,TurbiBRCOM,1815455857924096,116589 | 8497131 | 128110 | 4 | GIE2734,mc,2018-12-25 13:17:42,BRST,SettledInstallment,4315457510219111,BRL,,753.52,1,BRL,,0.00,20.72,,,,732.80,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116589
TurbiBR,TurbiBRCOM,4315455132413559,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1515457615218855,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,4315456392419096,116341 | 8526826 | 127862 | 65 | GCU7445,mc,2018-12-25 17:02:50,BRST,SettledInstallment,4315457645210845,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116341
TurbiBR,TurbiBRCOM,4315457484651018,116682 | 8496513 | 128203 | 42 | GCE5762,mc,2018-12-25 19:02:48,BRST,SettledInstallment,1515457717229842,BRL,,102.22,1,BRL,,0.00,2.81,,,,99.41,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116682
TurbiBR,TurbiBRCOM,4615453793353997,116341 | 8526826 | 127862 | 65 | GCU7445,mc,2018-12-25 17:02:50,BRST,SettledInstallment,4515457645217822,BRL,,668.80,1,BRL,,0.00,18.39,,,,650.41,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116341
TurbiBR,TurbiBRCOM,4515456830412768,116341 | 8526826 | 127862 | 65 | GCU7445,mc,2018-12-25 17:02:50,BRST,SettledInstallment,4315457645221008,BRL,,0.73,1,BRL,,0.00,0.02,,,,0.71,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116341
TurbiBR,TurbiBRCOM,4815457512828963,116685 | 8498012 | 128206 | 4 | GIE2734,mc,2018-12-25 19:32:49,BRST,SettledInstallment,4315457735226214,BRL,,101.50,1,BRL,,0.00,2.79,,,,98.71,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116685
TurbiBR,TurbiBRCOM,4515455706111850,116577 | 8499635 | 128098 | 64 | GGW0873,mc,2018-12-25 19:07:44,BRST,SettledInstallment,1515457720215069,BRL,,360.57,1,BRL,,0.00,9.92,,,,350.65,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116577
TurbiBR,TurbiBRCOM,1615457462903236,116681 | 8520660 | 128202 | 22 | FWL2173,mc,2018-12-25 20:02:55,BRST,SettledInstallment,1315457753205427,BRL,,280.62,1,BRL,,0.00,7.72,,,,272.90,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116681
TurbiBR,TurbiBRCOM,1715457697656905,116698 | 8523715 | 128219 | 27 | GIE0915,mc,2018-12-25 20:32:46,BRST,SettledInstallment,1515457771217964,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116698
TurbiBR,TurbiBRCOM,4315456446415330,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1715457615214308,BRL,,100.00,1,BRL,,0.00,2.75,,,,97.25,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,4315454695662926,116446 | 8509954 | 127967 | 34 | GAK2624,mc,2018-12-25 16:12:56,BRST,SettledInstallment,1815457615214356,BRL,,400.00,1,BRL,,0.00,11.00,,,,389.00,0000024984,10618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116446
TurbiBR,TurbiBRCOM,4335456819057640,116666 | 8527943 | 128187 | 56 | GCB5654,mc,2018-12-25 02:42:43,BRST,SettledInstallment,4835457129210551,BRL,,103.60,1,BRL,,0.00,2.85,,,,,0000024984,30618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116666
TurbiBR,TurbiBRCOM,1835456807288935,116656 | 8528622 | 128177 | 7 | GCW5563,mc,2018-12-24 23:52:50,BRST,SettledInstallment,1535457027217962,BRL,,235.54,1,BRL,,0.00,6.48,,,,,0000024984,30618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116656
TurbiBR,TurbiBRCOM,1635457499034795,116683 | 8497643 | 128204 | 7 | GCW5563,mc,2018-12-25 15:32:56,BRST,SettledInstallment,1735457591219095,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,30618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116683
TurbiBR,TurbiBRCOM,1535456735218569,116649 | 8507211 | 128170 | 8 | GCE1566,mc,2018-12-25 18:29:10,BRST,SettledInstallment,1735457696215931,BRL,,1043.97,1,BRL,,0.00,28.71,,,,,0000024984,30618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116649
TurbiBR,TurbiBRCOM,1635457749108423,116701 | 8524059 | 128222 | 9 | GEK9026,mc,2018-12-25 20:02:53,BRST,SettledInstallment,1635457753205776,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000024984,30618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116701
